case,brain_voxels,core_voxels,support_voxels,seg_voxels_tri,seg_voxels_near,core_brain_frac,seg_brain_frac,dice_tri,recall_tri,precision_tri,dice_near,recall_near,precision_near,dice_support,recall_support,seg_voxels_max,dice_max,recall_max,precision_max,dice_support_max,recall_support_max
Mets_011,54453,13487,80034,76,76,0.24768148678677024,0.001395699043211577,0.0028017400280174,0.25,0.0014087639949581078,0.0028017400280174,0.25,0.0014087639949581078,0.0018973910872550244,1.0,150,0.003373175918457139,0.15333333333333332,0.0017053458886334989,0.0037413947919784497,1.0
Mets_012,44875,9933,67472,62,66,0.22134818941504178,0.001381615598885794,0.007803901950975488,0.6290322580645161,0.003926306251887647,0.007600760076007601,0.5757575757575758,0.003825631732608477,0.001836112180531288,1.0,222,0.025406203840472673,0.581081081081081,0.012987012987012988,0.0065589269359175115,1.0
Mets_013,45119,10474,68149,2,2,0.23214166980651166,4.4327223564352046e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.8693195991254715e-05,1.0,28,0.0017139592458579318,0.32142857142857145,0.00085927057475654,0.0008213913783240682,1.0
Mets_014,41080,10559,62662,21,20,0.2570350535540409,0.0005111976630963973,0.003780718336483932,0.9523809523809523,0.00189411876124633,0.003781075716041214,1.0,0.00189411876124633,0.0006700381283601614,1.0,78,0.011657422205509072,0.7948717948717948,0.0058717681598636235,0.0024864520242269686,1.0
Mets_015,47095,10242,70679,5,7,0.2174753158509396,0.00010616838305552606,0.0,0.0,0.0,0.0,0.0,0.0,0.00014147473261275537,1.0,58,0.0013592233009708738,0.1206896551724138,0.0006834602616676431,0.0016398772919405686,1.0
Mets_016,37920,8899,58456,12,14,0.2346782700421941,0.00031645569620253165,0.001122208506340478,0.4166666666666667,0.0005618608832453085,0.00044878267698866825,0.14285714285714285,0.0002247443532981234,0.00041048094684271736,1.0,120,0.008204900765051558,0.30833333333333335,0.004157770536015282,0.00409724119093144,1.0
Mets_017,45069,11795,67727,0,1,0.26170982271627946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0003376952300548755,0.04,0.0001695633743111488,0.0014754267671924105,1.0
Mets_018,45726,11197,68591,335,336,0.24487162664567205,0.007326247649039934,0.030003468609087754,0.5164179104477612,0.015450567116191838,0.029307205410560998,0.5029761904761905,0.01509332857015272,0.00972056988654499,1.0,876,0.05914023026588255,0.4075342465753425,0.031883540233991245,0.025220608346409087,1.0
Mets_019,42828,10164,64855,183,181,0.23732137853740543,0.004272905575791538,0.023001836281047648,0.6502732240437158,0.011707988980716254,0.024359594006766554,0.6961325966850829,0.012396694214876033,0.005627479319782281,1.0,393,0.03296391020176186,0.44274809160305345,0.017119244391971666,0.012046346248160863,1.0
Mets_020,33301,9977,52223,2,1,0.2996006125942164,6.005825650881355e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.659167065581619e-05,1.0,15,0.0,0.0,0.0,0.0005742945748305831,1.0
Mets_021,38852,8459,59631,321,334,0.21772366930917328,0.008262122928034592,0.03143507972665148,0.42990654205607476,0.016313985104622297,0.03002388263391334,0.39520958083832336,0.015604681404421327,0.010708566853482785,1.0,921,0.064818763326226,0.3300760043431053,0.03593805414351578,0.030420134760206104,1.0
Mets_022,40715,11299,61869,95,92,0.27751442957141104,0.002333292398378976,0.012462699666491136,0.7473684210526316,0.006283741924064077,0.011061364234922308,0.6847826086956522,0.005575714665014603,0.0030662965592924926,1.0,322,0.03046209448412357,0.5496894409937888,0.0156651031064696,0.010355196089466322,1.0
Mets_023,49762,12155,73863,26,30,0.24426269040633414,0.0005224870383023191,0.000820950660865282,0.19230769230769232,0.00041135335252982314,0.0013130898645876078,0.26666666666666666,0.0006581653640477169,0.0007037583402130222,1.0,924,0.023549201009251473,0.16666666666666666,0.012669683257918552,0.024710176902402823,1.0
Mets_024,39062,10208,59721,9,8,0.26132814500025603,0.00023040294915774922,0.0,0.0,0.0,0.0,0.0,0.0,0.00030135610246107485,1.0,219,0.014577539081231418,0.3470319634703196,0.007445141065830721,0.007307307307307307,1.0
Mets_025,40462,9434,61825,88,87,0.23315703623152587,0.0021748801344471354,0.0027305187985717286,0.14772727272727273,0.001377994488022048,0.0029408675559289992,0.16091954022988506,0.001483994064023744,0.002842698625490608,1.0,431,0.016421692853522553,0.18793503480278423,0.008585965656137376,0.013846054998714984,1.0
Mets_026,42641,10642,64713,49,57,0.24957200816115946,0.001149128772777374,0.0018707323917313628,0.20408163265306123,0.0009396729937981583,0.0026170670156089354,0.24561403508771928,0.0013155421913174216,0.0015132330687748989,1.0,322,0.01568770521707406,0.2670807453416149,0.008081187746664161,0.009902360267548243,1.0
Mets_027,44804,9715,67563,30,30,0.21683331845370948,0.0006695830729399161,0.0004104669061056952,0.06666666666666667,0.0002058672156459084,0.0008209338122113904,0.13333333333333333,0.0004117344312918168,0.0008876658825618037,1.0,274,0.004404845329862849,0.08029197080291971,0.002264539372104992,0.008078187419844628,1.0
Mets_028,47958,10556,71437,1401,1386,0.22010926227115393,0.029213061428750155,0.10387220874801371,0.44325481798715205,0.058829101932550205,0.10567744096466254,0.45526695526695526,0.05977643046608564,0.03846893105247261,1.0,2275,0.14293507910529188,0.40307692307692305,0.08687002652519894,0.061726720208378556,1.0
Mets_029,48616,12850,72212,264,261,0.26431627447753825,0.005430311008721408,0.009608052463016624,0.23863636363636365,0.00490272373540856,0.008694988940584241,0.21839080459770116,0.00443579766536965,0.007285170263259561,1.0,756,0.021020138174334853,0.18915343915343916,0.0111284046692607,0.02072141212586339,1.0
Mets_030,41537,10152,63403,292,313,0.24440859956183644,0.007029876977152899,0.005744925315970892,0.10273972602739725,0.002955082742316785,0.004586717630195891,0.07667731629392971,0.002364066193853428,0.00916869456001256,1.0,595,0.010049316088210664,0.0907563025210084,0.005319148936170213,0.018594331072846026,1.0
